,fuel,age,y_mean,y_lower,y_upper,n
0,car_bev,3,41226.34428981776,41164.055713618574,41288.632866016946,167802
1,car_bev,4,52446.569788466455,52329.3326022576,52563.80697467531,70438
2,car_bev,5,63651.88465420044,63469.23448943433,63834.534818966546,39734
3,car_bev,6,73964.07861461514,73714.17497507016,74213.98225416012,27191
4,car_bev,7,81890.3503392503,81570.01293754611,82210.6877409545,19661
5,car_bev,8,87165.7435748513,86745.25309464458,87586.23405505801,12104
6,car_bev,9,93405.63833040422,92810.90348185482,94000.37317895363,5690
7,car_bev,10,94324.72649350649,93447.01762420476,95202.43536280822,2156
8,car_bev,11,90238.33573770494,88988.42825774524,91488.24321766464,915
9,car_bev_battery_30,3,33353.385291722654,33227.37640745734,33479.39417598797,24561
10,car_bev_battery_30,4,44398.40736639451,44237.07725597188,44559.737476817136,21556
11,car_bev_battery_30,5,54847.14200403982,54657.35187567736,55036.93213240228,20793
12,car_bev_battery_30,6,64635.288119453595,64417.32672880468,64853.24951010251,20058
13,car_bev_battery_30,7,72950.60141766767,72685.42353122564,73215.7793041097,15984
14,car_bev_battery_30,8,80259.60148091015,79904.60290355151,80614.60005826878,10372
15,car_bev_battery_30,9,89805.94568370027,89256.2733418679,90355.61802553263,4951
16,car_bev_battery_30,10,96690.98754375729,95703.37313326637,97678.60195424821,1714
17,car_bev_battery_30,11,88832.65106995885,87210.54045092867,90454.76168898903,486
18,car_bev_battery_60,3,38337.30291026957,38249.39658217649,38425.20923836266,80831
19,car_bev_battery_60,4,49552.867553703574,49369.25462167242,49736.480485734726,27838
20,car_bev_battery_60,5,61295.59834182591,60933.62491711156,61657.57176654026,9420
21,car_bev_battery_60,6,73735.51013286093,72519.93178075596,74951.0884849659,1129
22,car_bev_battery_60,7,89255.45827160493,83925.13145724057,94585.7850859693,81
23,car_bev_battery_60,8,,,,0
24,car_bev_battery_60,9,,,,0
25,car_bev_battery_60,10,,,,0
26,car_bev_battery_60,11,,,,0
27,car_bev_battery_100,3,48061.46603102523,47954.184183617035,48168.74787843342,60338
28,car_bev_battery_100,4,65179.964986831845,64937.976863175114,65421.953110488575,20504
29,car_bev_battery_100,5,87311.49734015344,86836.3805863404,87786.61409396648,8993
30,car_bev_battery_100,6,108999.47823963965,108277.2288626479,109721.7276166314,5550
31,car_bev_battery_100,7,130388.32744343892,129255.46222139658,131521.19266548124,3094
32,car_bev_battery_100,8,148773.45027799843,146759.9050495571,150786.99550643977,1259
33,car_bev_battery_100,9,164576.0815662651,160645.00139293936,168507.1617395908,332
34,car_bev_battery_100,10,155227.82800000004,123173.81061026067,187281.8453897394,5
35,car_bev_battery_100,11,,,,0
